id,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
0,5.63,3.05,4.17,1.7799999999999998,2
1,4.25,3.42,0.26,-0.12,0
2,6.06,3.17,5.49,2.28,2
3,5.85,2.46,3.9400000000000004,1.3800000000000001,2
4,5.12,2.66,3.7199999999999998,1.3199999999999998,1
5,5.0200000000000005,3.41,1.12,0.04000000000000001,0
6,4.0200000000000005,2.6999999999999997,0.5899999999999999,-0.14999999999999997,0
7,7.180000000000001,3.4299999999999997,4.880000000000001,1.3399999999999999,2
8,4.16,2.92,0.15000000000000013,-0.3,0
9,4.99,2.4299999999999997,2.59,0.65,1
10,4.79,3.58,0.0,-0.16000000000000003,0
11,5.43,2.6100000000000003,3.83,1.1400000000000001,1
12,5.11,2.29,2.24,0.45999999999999996,1
13,4.880000000000001,2.99,1.3499999999999999,0.18000000000000002,0
14,4.489999999999999,3.48,0.6099999999999999,-0.16000000000000003,0
15,5.77,2.62,3.64,1.3199999999999998,2
16,4.119999999999999,2.85,0.48,-0.24,0
17,6.02,2.75,4.47,1.35,2
18,6.07,3.0300000000000002,4.6,1.9999999999999998,2
19,6.13,2.7,3.7800000000000002,1.17,1
20,6.21,2.69,4.24,1.55,2
21,6.99,3.49,5.6499999999999995,2.3,2
22,5.3100000000000005,2.54,3.04,0.87,1
23,5.48,2.63,3.38,1.02,1
24,4.279999999999999,3.3699999999999997,0.15999999999999992,-0.35,0
25,4.55,3.16,0.1200000000000001,-0.39999999999999997,0
26,4.38,2.88,0.7100000000000001,-0.19,0
27,5.62,2.6,4.71,1.73,2
28,4.840000000000001,2.47,4.38,1.65,2
29,6.18,2.87,4.57,1.73,2
30,5.760000000000001,2.8600000000000003,3.9299999999999997,1.71,2
31,3.7199999999999998,2.7,-0.1299999999999999,-0.43000000000000005,0
32,6.0600000000000005,2.9699999999999998,4.34,1.5100000000000002,2
33,4.51,2.9899999999999998,0.44999999999999996,-0.040000000000000036,0
34,3.89,1.9799999999999998,0.0,-0.26000000000000006,0
35,5.16,3.58,0.99,-0.01999999999999999,0
36,6.69,2.99,4.46,1.31,1
37,5.380000000000001,2.73,3.08,1.02,1
38,5.45,1.9100000000000001,3.83,0.99,2
39,4.6,2.99,0.35,-0.16999999999999998,0
40,5.7299999999999995,2.61,3.2199999999999998,0.96,1
41,4.210000000000001,2.04,1.8299999999999998,0.36,1
42,4.74,2.0,2.09,0.30000000000000004,1
43,6.380000000000001,2.93,4.6,1.8199999999999998,2
44,4.44,3.1,-0.1100000000000001,-0.49999999999999994,0
45,4.67,3.8199999999999994,0.3700000000000001,-0.39,0
46,6.069999999999999,2.1799999999999997,3.91,1.09,1
47,5.9799999999999995,2.57,3.76,1.35,2
48,6.12,2.8,4.4,1.65,2
49,5.93,2.11,3.6100000000000003,0.96,1
50,5.7,2.6500000000000004,4.88,1.8099999999999998,2
51,5.5,2.79,3.35,1.13,1
52,5.319999999999999,2.35,3.3,0.8400000000000001,1
53,3.8099999999999996,2.69,-0.17999999999999994,-0.53,0
54,5.11,2.59,2.9400000000000004,0.76,1
55,5.6499999999999995,3.92,0.8699999999999999,0.06,0
56,4.48,3.23,0.18999999999999995,-0.18,0
57,5.76,2.6199999999999997,3.97,0.8799999999999999,1
58,4.55,3.21,0.21999999999999997,-0.21000000000000002,0
59,5.56,2.98,4.02,1.27,1
60,4.46,1.72,2.35,0.5,1
61,4.89,2.94,1.36,0.1,0
62,6.909999999999999,2.9,5.5,1.9300000000000002,2
63,4.23,3.19,-0.25,-0.51,0
64,4.57,3.17,0.68,0.0,0
65,6.1,2.4,4.58,1.72,2
66,6.66,2.97,4.380000000000001,1.28,1
67,5.99,2.93,4.01,1.53,2
68,6.16,2.67,5.09,1.8800000000000001,2
69,5.49,2.54,4.43,1.6099999999999999,2
70,7.11,2.95,5.609999999999999,1.52,2
71,4.12,2.65,-0.040000000000000036,-0.52,0
72,5.28,2.28,4.11,1.62,2
73,5.79,2.5900000000000003,3.97,1.19,1
74,5.87,2.67,4.449999999999999,1.62,2
75,5.92,2.66,4.93,1.53,1
76,5.05,4.02,1.19,-0.04000000000000001,0
77,4.83,2.21,2.9499999999999997,0.85,1
78,4.55,3.16,0.54,-0.21999999999999997,0
79,5.29,3.34,1.47,0.1,0
80,4.569999999999999,2.98,1.11,-0.009999999999999981,0
81,5.239999999999999,2.71,2.83,0.97,1
82,7.09,2.68,4.789999999999999,1.73,2
83,6.59,3.0900000000000003,5.46,2.11,2
84,4.53,2.76,0.6100000000000001,-0.22999999999999998,0
85,7.39,2.89,6.1499999999999995,1.9000000000000001,2
86,5.970000000000001,2.47,4.37,1.5,2
87,5.29,3.39,0.8500000000000001,0.0,0
88,4.779999999999999,3.13,1.01,0.2,0
89,4.7700000000000005,2.47,2.9699999999999998,0.9999999999999999,1
90,6.0600000000000005,2.77,3.34,0.91,1
91,6.51,2.64,4.34,0.9700000000000001,2
92,5.630000000000001,2.7,3.8600000000000003,1.09,2
93,4.260000000000001,2.16,3.13,1.1099999999999999,2
94,5.48,2.49,3.96,1.28,1
95,4.84,1.92,3.17,0.86,1
96,4.359999999999999,2.77,0.46999999999999986,-0.10000000000000003,0
97,5.279999999999999,2.3699999999999997,2.25,0.54,1
98,6.21,2.4899999999999998,3.55,0.8599999999999999,1
99,6.01,2.74,4.14,1.77,2
100,4.739999999999999,3.31,0.6199999999999999,-0.14,0
101,4.4,2.98,-0.31000000000000005,-0.54,0
102,4.36,3.16,0.22999999999999998,0.010000000000000009,0
103,5.72,2.3899999999999997,2.9399999999999995,0.78,1
104,5.48,2.78,4.199999999999999,1.4100000000000001,2
105,4.78,3.57,0.3799999999999999,-0.16999999999999993,0
106,4.79,2.44,4.26,1.5999999999999999,2
107,7.140000000000001,2.31,5.7,1.7799999999999998,2
108,4.81,3.3,1.1900000000000002,0.22000000000000003,0
109,4.609999999999999,3.3400000000000003,0.030000000000000027,-0.44,0
110,5.6499999999999995,2.76,3.6399999999999997,0.98,1
111,5.75,2.46,4.22,1.5,2
112,5.1899999999999995,2.98,2.77,0.8500000000000001,1
113,5.760000000000001,2.87,3.1399999999999997,0.91,1
114,5.15,4.11,0.32000000000000006,-0.10999999999999999,0
115,6.65,3.27,5.59,2.0500000000000003,2
116,4.8,3.19,0.5499999999999999,-0.16999999999999998,0
